Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","06/28/2024","3571","N389FR","SJU","05:59","09:52","266","296","233","10:33","41","233","0","30","0","0"
"F9","06/29/2024","3571","N359FR","SJU","05:59","12:55","266","255","416","13:18","23","405","0","0","0","0"
"F9","06/29/2024","3573","N394FR","SJU","11:08","12:23","245","261","75","12:36","13","75","0","16","0","0"
"F9","06/30/2024","3571","N646FR","SJU","05:59","06:00","244","240","1","06:24","24","0","0","0","0","0"
"F9","07/01/2024","3571","N359FR","SJU","05:59","06:02","266","268","3","06:26","24","0","0","0","0","0"
"F9","07/01/2024","3573","N395FR","SJU","11:08","11:43","245","266","35","12:05","22","0","0","21","0","35"
"F9","07/02/2024","3571","N383FR","SJU","05:59","06:21","266","256","22","06:49","28","0","0","0","0","0"
"F9","07/03/2024","3571","N383FR","SJU","05:59","06:04","266","263","5","06:33","29","0","0","0","0","0"
"F9","07/03/2024","3573","N395FR","SJU","11:08","11:14","245","217","6","11:31","17","0","0","0","0","0"
"F9","07/04/2024","3571","N631FR","SJU","05:59","05:58","244","217","-1","06:16","18","0","0","0","0","0"
"F9","07/05/2024","3571","N393FR","SJU","05:59","08:45","263","230","166","09:19","34","133","0","0","0","0"
"F9","07/05/2024","3573","N631FR","SJU","11:08","11:22","239","221","14","11:41","19","0","0","0","0","0"
"F9","07/06/2024","3571","N388FR","SJU","05:59","05:53","263","266","-6","06:18","25","0","0","0","0","0"
"F9","07/06/2024","3573","N631FR","SJU","11:08","12:31","239","240","83","12:54","23","0","0","69","0","15"
"F9","07/07/2024","3571","N363FR","SJU","05:59","06:02","263","255","3","06:29","27","0","0","0","0","0"
"F9","07/08/2024","3571","N228FR","SJU","05:59","10:43","263","239","284","11:10","27","260","0","0","0","0"
"F9","07/08/2024","3573","N395FR","SJU","11:08","11:07","239","226","-1","11:19","12","0","0","0","0","0"
"F9","07/09/2024","3571","N363FR","SJU","05:59","06:15","263","250","16","06:30","15","0","0","0","0","0"
"F9","07/10/2024","3571","N362FR","SJU","05:59","05:59","263","256","0","06:17","18","0","0","0","0","0"
"F9","07/10/2024","3573","N392FR","SJU","11:08","11:44","239","248","36","12:08","24","1","0","9","0","35"
"F9","07/11/2024","3571","N639FR","SJU","05:59","03:08","263","236","1269","03:23","15","1242","0","0","0","0"
"F9","07/12/2024","3571","N394FR","SJU","05:59","13:38","263","289","459","14:30","52","459","0","26","0","0"
"F9","07/12/2024","3573","N393FR","SJU","11:08","23:25","239","241","737","23:42","17","737","0","2","0","0"
"F9","07/13/2024","3571","N639FR","SJU","05:59","06:09","263","236","10","06:31","22","0","0","0","0","0"
"F9","07/13/2024","3573","N393FR","SJU","11:08","11:18","239","253","10","11:44","26","10","0","14","0","0"
"F9","07/14/2024","3571","N360FR","SJU","05:59","06:02","263","254","3","06:26","24","0","0","0","0","0"
"F9","07/15/2024","3571","N361FR","SJU","05:59","06:09","263","256","10","06:28","19","0","0","0","0","0"
"F9","07/15/2024","3573","N395FR","SJU","11:08","11:02","239","236","-6","11:26","24","0","0","0","0","0"
"F9","07/16/2024","3571","N390FR","SJU","05:59","05:53","263","261","-6","06:21","28","0","0","0","0","0"
"F9","07/17/2024","3571","N316FR","SJU","05:59","05:50","263","274","-9","06:16","26","0","0","0","0","0"
"F9","07/17/2024","3573","N334FR","SJU","11:08","11:07","239","0","-1","12:23","76","0","0","0","0","0"
"F9","07/18/2024","3571","N309FR","SJU","05:59","06:15","263","265","16","06:38","23","16","0","2","0","0"
"F9","07/19/2024","3571","N361FR","SJU","05:59","06:33","263","282","34","06:50","17","34","0","19","0","0"
"F9","07/19/2024","3573","N392FR","SJU","11:08","13:31","239","247","143","14:04","33","57","0","8","0","86"
